name,category,status,range,road_distance_m,travel_duration_s,confirmation_method,refusal_reason,inclusion_reason,sl_description
Velika Raduha,Pohodi in kolesarjenje,pending,excursion,31066.8,3646,exact,,"Gorski cilj za izkušene pohodnike, ki iščejo daljši izlet.",Izrazit vrh Kamniško-Savinjskih Alp z obsežnimi razgledi.
Rimska nekropola Šempeter,Znamenitosti,unresolved,,,,,name-mismatch,Pomembna antična dediščina v Savinjski dolini.,Arheološko najdišče z rimskimi grobnicami in kamnitimi spomeniki.
Ekomuzej hmeljarstva in pivovarstva Slovenije,Znamenitosti,unresolved,,,,,no-results,Ponuja jasen vpogled v značilno kulturno in gospodarsko dediščino regije.,Muzej v Žalcu predstavlja hmeljarstvo in pivovarsko tradicijo Savinjske doline.
Grad Šalek,Znamenitosti,unresolved,,,,,name-mismatch,Zgodovinska razgledna točka za izlet v Šaleško dolino.,Razvaline srednjeveškega gradu na vzpetini nad Šaleško dolino.
Žovneško jezero,Znamenitosti,pending,excursion,19028.5,1585,exact,,"Naravna točka v Spodnji Savinjski dolini, primerna za kratek nezahteven izlet.","Mirno jezero pod gradom Žovnek, primerno za sprehod in opazovanje narave."
Dvorec Šenek,Znamenitosti,unresolved,,,,,no-results,Kulturnozgodovinska znamenitost v Savinjski dolini z urejenim parkovnim okoljem.,"Zgodovinski dvorec s parkom v Polzeli, povezan z dediščino Spodnje Savinjske doline."
Jama Huda luknja,Znamenitosti,unresolved,,,,,no-results,Zanimiv naravni in arheološki cilj za obiskovalce Savinjske regije.,"Kraška jama v soteski pri Velenju, znana po podzemnih oblikah in arheoloških najdbah."
Muzej usnjarstva na Slovenskem,Znamenitosti,unresolved,,,,,no-results,Vsebinsko bogat muzej regionalne industrijske dediščine.,Muzej v Šoštanju predstavlja razvoj usnjarstva ter življenje in delo v nekdanjem industrijskem mestu.
Flosarski muzej Ljubno ob Savinji,Znamenitosti,unresolved,,,,,no-results,Predstavlja značilno kulturno dediščino zgornje Savinjske doline.,"Muzejska zbirka o flosarstvu, nekdanjem splavarjenju lesa po Savinji."
Slap Krampež,Pohodi in kolesarjenje,unresolved,,160395.1,10416,exact,duration-ceiling,Kratek naravni pohod ob obisku Zgornje Savinjske doline.,"Slap v gozdnatem delu doline pri Lučah, dosegljiv po kratki poti."
Vila Mayer,Znamenitosti,unresolved,,,,,name-mismatch,Primer lokalne meščanske arhitekture in kulturne dediščine Šoštanja.,"Meščanska vila v Šoštanju z muzejsko in kulturno vsebino, povezana z zgodovino mesta."
Grad Forhtenek,Pohodi in kolesarjenje,pending,excursion,26618,2524,exact,,"Povezuje krajši pohod, gozdno okolje in ostanke srednjeveške dediščine.",Ruševine gradu nad Šoštanjem so cilj sprehoda skozi gozd in razgledna točka nad okolico.
Knežji dvor,Znamenitosti,unresolved,,,,,no-results,Osrednja kulturnozgodovinska točka za raziskovanje starega mestnega jedra Celja.,"Pomemben del celjske mestne dediščine, povezan z grofi Celjskimi in srednjeveško zgodovino mesta."
Muzej novejše zgodovine Celje,Znamenitosti,unresolved,,,,,no-results,Dopolnjuje obisk Celja z vsebinami o novejši regionalni zgodovini.,"Muzej predstavlja vsakdanje življenje, mestno zgodovino in dogajanje na Celjskem v novejšem obdobju."
Kartuzija Jurklošter,Znamenitosti,pending,excursion,71860.2,4454,exact,,Miren kulturnozgodovinski izlet v dolino Gračnice.,Ostanki nekdanjega kartuzijanskega samostana v ozki dolini Gračnice pričajo o srednjeveški samostanski dediščini.
Muzej Laško,Znamenitosti,unresolved,,,,,no-results,Primeren postanek za spoznavanje zgodovine in tradicij Laškega.,"Muzej predstavlja zgodovino Laškega, lokalne obrti, pivovarstvo in življenje ob Savinji."
Samostan Olimje,Znamenitosti,unresolved,,,,,name-mismatch,Izrazita sakralna in arhitekturna dediščina vzhodne Slovenije.,"Samostanski kompleks v Olimju je prepoznaven po baročni arhitekturi, cerkvi in zgodovini minoritov."
Podzemlje Pece,Izleti,unresolved,,,,,name-mismatch,"Poseben izletniški cilj, povezan z rudarsko zgodovino Koroške.",Nekdanji rudniški rovi pod Peco omogočajo spoznavanje rudarske dediščine Mežiške doline.
Rojstna hiša Huga Wolfa,Znamenitosti,pending,excursion,48688.2,3531,exact,,"Kulturni cilj za goste, ki jih zanimata glasbena dediščina in staro jedro Slovenj Gradca.",Rojstna hiša skladatelja Huga Wolfa v Slovenj Gradcu predstavlja njegovo življenje in glasbeno zapuščino.
Cerkev Marije Snežne v Radmirju,Znamenitosti,unresolved,,,,,no-results,Sakralna in kulturna znamenitost v neposredni okolici kampa.,Romarska cerkev z bogato sakralno opremo in pogledom na Zgornjo Savinjsko dolino.
Mozirska planina,Pohodi in kolesarjenje,unresolved,,,,,no-results,Primerna bližnja izbira za nezahteven planinski izlet in sprehod v naravi.,"Gozdnata planota z označenimi potmi, travniki in planinskim domom."
Dom na Mozirski planini,Pohodi in kolesarjenje,unresolved,,,,,no-results,Jasno prepoznaven cilj za pohodnike v bližnji okolici.,"Planinski dom, ki je izhodišče in cilj poti po Mozirski planini."
Soteska Hudi graben,Izleti,unresolved,,,,,no-results,Naravna točka za kratek izlet v Zgornji Savinjski dolini.,"Ozka gozdnata soteska ob potoku, znana po slapovih in skalnih pragovih."
Tirske peči,Znamenitosti,pending,excursion,11615.4,1457,exact,,Zanimiva naravna znamenitost za aktivne goste in ljubitelje skalnega sveta.,"Izrazite skalne stene nad dolino, priljubljene med plezalci in pohodniki."
Lepenatka,Pohodi in kolesarjenje,pending,excursion,24690.1,2874,exact,,Dober predlog za planinski izlet z razgledi v bližnjem gorskem svetu.,Razgledni vrh na robu Kamniško-Savinjskih Alp z označenimi pristopi.
Nova Štifta pri Gornjem Gradu,Znamenitosti,unresolved,,,,,name-mismatch,"Kulturni postanek, ki se lepo poveže z izletom po dolini Drete.",Romarska cerkev v mirnem gozdnem okolju nad Gornjim Gradom.
KSEVT,Znamenitosti,pending,excursion,45083.6,3350,exact,,"Poseben kulturni izlet za goste, ki jih zanimajo arhitektura, znanost in vesolje.",Kulturno središče evropskih vesoljskih tehnologij v značilni krožni stavbi v Vitanju.
Muzej Južne železnice Šentjur,Znamenitosti,unresolved,,,,,name-mismatch,"Tematski muzejski obisk, primeren za družine in ljubitelje tehniške dediščine.",Muzejska zbirka o razvoju železnice in življenju ob nekdanji Južni železnici.
Ipavčeva hiša,Znamenitosti,unresolved,,,,,no-results,Dopolnjuje obisk Šentjurja z glasbeno in kulturnozgodovinsko vsebino.,"Meščanska hiša, povezana z zdravniško in glasbeno rodbino Ipavec."
Aškerčeva domačija,Znamenitosti,unresolved,,,,,no-results,Literarna in etnološka dediščina za samostojen izlet po Savinjski regiji.,Rojstna hiša pesnika Antona Aškerca z ohranjeno podobo podeželske domačije.
Grad Bogenšperk,Znamenitosti,pending,excursion,74920,4718,exact,,Celovit kulturnozgodovinski cilj za daljši izlet.,"Renesančni grad, povezan z Janezom Vajkardom Valvasorjem in zgodovino slovenskega tiskarstva."
Jenkova kasarna,Znamenitosti,pending,excursion,56350,4152,exact,,"Etnološki postanek, ki se lahko poveže z obiskom alpske doline Jezersko.","Stara kmečka hiša v Jezerskem, urejena kot muzej lokalne bivanjske kulture."
Ravenska Kočna,Pohodi in kolesarjenje,pending,excursion,60796.2,4754,exact,,"Naravni izletniški cilj za goste, ki želijo doživeti visokogorsko alpsko okolje.",Alpska dolina pod severnimi stenami Kamniško-Savinjskih Alp z izhodišči za sprehode in pohode.
Dvorec Bukovje,Znamenitosti,pending,excursion,60154.7,4209,exact,,Kulturnozgodovinski cilj za izlet proti Koroški.,Dvorec ob Dravi z grajskim parkom in kulturnimi prireditvenimi prostori.
Dobrovlje,Pohodi in kolesarjenje,unresolved,,,,,no-results,Primerna bližnja izbira za nezahtevne sprehode in kolesarjenje v naravi.,"Gozdnata kraška planota z mirnimi cestami, kolovozi in razgledi proti Savinjski dolini."
Šmartno ob Dreti,Izleti,unresolved,,,,,name-mismatch,Bližnji kulturni postanek na poti po Zadrečki dolini.,Savinjska vas ob reki Dreti z župnijsko cerkvijo in izhodišči za raziskovanje Zadrečke doline.
Grad Pakenštajn,Znamenitosti,pending,near,14426.1,1190,exact,,Zanimiv zgodovinski cilj za kratek izlet v Šaleško dolino.,"Razvaline srednjeveškega gradu nad Šaleško dolino, dostopne po gozdi poti."
Grad Vodriž,Znamenitosti,pending,excursion,34782.4,4439,exact,,Dopolnjuje nabor bližnjih zgodovinskih točk in gozdnih sprehodov.,Ostanki gradu na gozdnatem pobočju nad okolico Šoštanja.
Sleme nad Velenjem,Pohodi in kolesarjenje,unresolved,,,,,no-results,Primeren je za aktivni izlet v bližnje hribovje.,Gozdnat hrbet s planinskimi potmi in odprtimi razgledi nad Šaleško dolino.
Mestno jedro Šoštanja,Izleti,unresolved,,,,,name-mismatch,"Bližnji mestni postanek, primeren za povezavo z ogledom Šaleške doline.",Staro mestno jedro z meščanskimi stavbami in sledmi zgodovine Šaleške doline.
Cerkev sv. Križa v Belih Vodah,Znamenitosti,unresolved,,,,,name-mismatch,Kulturna točka v mirnem hribovitem zaledju kampa.,Podeželska cerkev na razglednem območju Belih Vod nad Šaleško dolino.
Uršlja gora,Pohodi in kolesarjenje,pending,excursion,52883.6,5395,exact,,Celodnevni planinski izlet za goste z ustrezno opremo in izkušnjami.,"Izrazit koroški vrh s planinskimi potmi, cerkvijo sv. Uršule in širokimi razgledi."
Olševa,Pohodi in kolesarjenje,pending,excursion,35816.8,3985,exact,,Zanesljiva izbira za zahtevnejši gorski izlet v Zgornjo Savinjsko dolino.,Dolgi gorski greben nad Solčavsko pokrajino z označenimi planinskimi potmi in alpskim svetom.
Peca,Pohodi in kolesarjenje,unresolved,,69848.8,5657,exact,duration-ceiling,Primerna planinska ekskurzija za izkušene pohodnike.,"Koroški masiv na meji z Avstrijo, znan po planinskih poteh in razgledih z vršnega območja."
Stara grofija,Znamenitosti,unresolved,,,,,no-results,Pomembna kulturnozgodovinska točka za izlet v Celje.,"Renesančna palača v starem mestnem jedru Celja, povezana z dediščino celjskih grofov."
Grad Tabor nad Laškim,Znamenitosti,unresolved,,,,,name-mismatch,Združuje zgodovinski ogled z izletom ob Savinji.,Grad nad Laškim s pogledom na dolino Savinje in staro mestno jedro.
Stolp ljubezni na Žusmu,Znamenitosti,unresolved,,,,,no-results,Razgledna in zgodovinska točka za izlet v Kozjansko.,Razgledni stolp ob ostankih gradu Žusem nad Kozjanskim.
Črno jezero na Pohorju,Izleti,unresolved,,,,,no-results,Naravoslovni cilj za daljši izlet v Pohorje.,"Visokogorsko barjansko jezero v pohorskih gozdovih, dostopno po označenih poteh."
Slovenj Gradec,Izleti,unresolved,,,,,name-mismatch,"Mestni kulturni izlet, ki razširi izbor izven Savinjske doline.","Koroško mesto z ohranjenim jedrom, galerijskimi prostori in kulturno dediščino."

